State,County,Year,Poverty Rate
Minnesota,Marshall County,2010,7.86
Minnesota,Marshall County,2009,7.86
Minnesota,Martin County,2018,14.6
Minnesota,Martin County,2017,13.3
Minnesota,Martin County,2016,11.61
Minnesota,Martin County,2015,11.59
Minnesota,Martin County,2014,11.41
Minnesota,Martin County,2013,11.4
Minnesota,Martin County,2012,10.56
Minnesota,Martin County,2011,10.57
Minnesota,Martin County,2010,10.57
Minnesota,Martin County,2009,10.57
Minnesota,McLeod County,2018,10.57
Minnesota,McLeod County,2017,8.45
Minnesota,McLeod County,2016,8.22
Minnesota,McLeod County,2015,8.1
Minnesota,McLeod County,2014,8.08
Minnesota,McLeod County,2013,8.08
Minnesota,McLeod County,2012,7.73
Minnesota,McLeod County,2011,7.73
Minnesota,McLeod County,2010,7.73
Minnesota,McLeod County,2009,7.73
Minnesota,Meeker County,2018,5.29
Minnesota,Meeker County,2017,7.6
Minnesota,Meeker County,2016,9.34
Minnesota,Meeker County,2015,9.35
Minnesota,Meeker County,2014,9.98
Minnesota,Meeker County,2013,9.84
Minnesota,Meeker County,2012,10.29
Minnesota,Meeker County,2011,10.59
Minnesota,Meeker County,2010,10.59
Minnesota,Meeker County,2009,8.38
Minnesota,Mille Lacs County,2018,8.4
Minnesota,Mille Lacs County,2017,11.47
Minnesota,Mille Lacs County,2016,11.53
Minnesota,Mille Lacs County,2015,12.18
Minnesota,Mille Lacs County,2014,12.21
Minnesota,Mille Lacs County,2013,12.58
Minnesota,Mille Lacs County,2012,14.02
Minnesota,Mille Lacs County,2011,14.02
Minnesota,Mille Lacs County,2010,14.02
Minnesota,Mille Lacs County,2009,14.02
Minnesota,Morrison County,2018,11.13
Minnesota,Morrison County,2017,11.04
Minnesota,Morrison County,2016,11.7
Minnesota,Morrison County,2015,11.48
Minnesota,Morrison County,2014,11.35
Minnesota,Morrison County,2013,11.66
Minnesota,Morrison County,2012,13.09
Minnesota,Morrison County,2011,13.22
Minnesota,Morrison County,2010,13.22
Minnesota,Morrison County,2009,13.22
Minnesota,Mower County,2018,13.28
Minnesota,Mower County,2017,12.82
Minnesota,Mower County,2016,13.96
Minnesota,Mower County,2015,13.96
Minnesota,Mower County,2014,13.97
Minnesota,Mower County,2013,13.97
Minnesota,Mower County,2012,15.82
Minnesota,Mower County,2011,15.83
Minnesota,Mower County,2010,15.83
Minnesota,Mower County,2009,13.61
Minnesota,Murray County,2018,12.71
Minnesota,Murray County,2017,8.18
Minnesota,Murray County,2016,8.22
Minnesota,Murray County,2015,9.19
Minnesota,Murray County,2014,9.19
Minnesota,Murray County,2013,9.19
Minnesota,Murray County,2012,10.41
Minnesota,Murray County,2011,10.11
Minnesota,Murray County,2010,10.11
Minnesota,Murray County,2009,10.11
Minnesota,Nicollet County,2018,31.56
Minnesota,Nicollet County,2017,9.55
Minnesota,Nicollet County,2016,11.8
Minnesota,Nicollet County,2015,11.84
Minnesota,Nicollet County,2014,12.41
Minnesota,Nicollet County,2013,12.41
